,ElementName,ElementType,s,Profile
0,_BEGIN_,MARK,0.0,0.0
1,MA_SEPT,MAXAMP,0.0,0.0
2,SEPT2,DRIF,0.0,0.0
3,SEPT2,DRIF,0.00841,0.0
4,SEPT2,DRIF,0.00841,0.0
5,SEPT2,DRIF,0.01682,0.0
6,SEPT2,DRIF,0.01682,0.0
7,SEPT2,DRIF,0.02523,0.0
8,SEPT2,DRIF,0.02523,0.0
9,SEPT2,DRIF,0.03364,0.0
10,SEPT2,DRIF,0.03364,0.0
11,SEPT2,DRIF,0.04205,0.0
12,SEPT2,DRIF,0.04205,0.0
13,SEPT2,DRIF,0.05046,0.0
14,SEPT2,DRIF,0.05046,0.0
15,SEPT2,DRIF,0.05887,0.0
16,SEPT2,DRIF,0.05887,0.0
17,SEPT2,DRIF,0.06728,0.0
18,SEPT2,DRIF,0.06728,0.0
19,SEPT2,DRIF,0.07569,0.0
20,SEPT2,DRIF,0.07569,0.0
21,SEPT2,DRIF,0.0841,0.0
22,SEPT2,DRIF,0.0841,0.0
23,SEPT2,DRIF,0.09251,0.0
24,SEPT2,DRIF,0.09251,0.0
25,SEPT2,DRIF,0.10092,0.0
26,SEPT2,DRIF,0.10092,0.0
27,SEPT2,DRIF,0.10933,0.0
28,SEPT2,DRIF,0.10933,0.0
29,SEPT2,DRIF,0.11774,0.0
30,SEPT2,DRIF,0.11774,0.0
31,SEPT2,DRIF,0.12615,0.0
32,SEPT2,DRIF,0.12615,0.0
33,SEPT2,DRIF,0.13456,0.0
34,SEPT2,DRIF,0.13456,0.0
35,SEPT2,DRIF,0.14297,0.0
36,SEPT2,DRIF,0.14297,0.0
37,SEPT2,DRIF,0.15138,0.0
38,SEPT2,DRIF,0.15138,0.0
39,SEPT2,DRIF,0.15979,0.0
40,SEPT2,DRIF,0.15979,0.0
41,SEPT2,DRIF,0.1682,0.0
42,SEPT2,DRIF,0.1682,0.0
43,SEPT2,DRIF,0.17661,0.0
44,SEPT2,DRIF,0.17661,0.0
45,SEPT2,DRIF,0.18502,0.0
46,SEPT2,DRIF,0.18502,0.0
47,SEPT2,DRIF,0.19343,0.0
48,SEPT2,DRIF,0.19343,0.0
49,SEPT2,DRIF,0.20184,0.0
50,SEPT2,DRIF,0.20184,0.0
51,SEPT2,DRIF,0.21025,0.0
52,SEPT2,DRIF,0.21025,0.0
53,SEPT2,DRIF,0.21866,0.0
54,SEPT2,DRIF,0.21866,0.0
55,SEPT2,DRIF,0.22707,0.0
56,SEPT2,DRIF,0.22707,0.0
57,SEPT2,DRIF,0.23548,0.0
58,SEPT2,DRIF,0.23548,0.0
59,SEPT2,DRIF,0.24389,0.0
60,SEPT2,DRIF,0.24389,0.0
61,SEPT2,DRIF,0.2523,0.0
62,SEPT2,DRIF,0.2523,0.0
63,SEPT2,DRIF,0.26071,0.0
64,SEPT2,DRIF,0.26071,0.0
65,SEPT2,DRIF,0.26912,0.0
66,SEPT2,DRIF,0.26912,0.0
67,SEPT2,DRIF,0.27753,0.0
68,SEPT2,DRIF,0.27753,0.0
69,SEPT2,DRIF,0.28594,0.0
70,SEPT2,DRIF,0.28594,0.0
71,SEPT2,DRIF,0.29435,0.0
72,SEPT2,DRIF,0.29435,0.0
73,SEPT2,DRIF,0.30276,0.0
74,SEPT2,DRIF,0.30276,0.0
75,SEPT2,DRIF,0.31117,0.0
76,SEPT2,DRIF,0.31117,0.0
77,SEPT2,DRIF,0.31958,0.0
78,SEPT2,DRIF,0.31958,0.0
79,SEPT2,DRIF,0.32799,0.0
80,SEPT2,DRIF,0.32799,0.0
81,SEPT2,DRIF,0.3364,0.0
82,SEPT2,DRIF,0.3364,0.0
83,SEPT2,DRIF,0.34481,0.0
84,SEPT2,DRIF,0.34481,0.0
85,SEPT2,DRIF,0.35322,0.0
86,SEPT2,DRIF,0.35322,0.0
87,SEPT2,DRIF,0.36163,0.0
88,SEPT2,DRIF,0.36163,0.0
89,SEPT2,DRIF,0.37004,0.0
90,SEPT2,DRIF,0.37004,0.0
91,SEPT2,DRIF,0.37845,0.0
92,SEPT2,DRIF,0.37845,0.0
93,SEPT2,DRIF,0.38686,0.0
94,SEPT2,DRIF,0.38686,0.0
95,SEPT2,DRIF,0.39527,0.0
96,SEPT2,DRIF,0.39527,0.0
97,SEPT2,DRIF,0.40368,0.0
98,SEPT2,DRIF,0.40368,0.0
99,SEPT2,DRIF,0.41209,0.0
100,SEPT2,DRIF,0.41209,0.0
101,SEPT2,DRIF,0.4205,0.0
102,MA_80,MAXAMP,0.4205,0.0
103,E_INJ,MARK,0.4205,0.0
104,D_SM2_LK3,DRIF,0.4205,0.0
105,D_SM2_LK3,DRIF,0.422738,0.0
106,D_SM2_LK3,DRIF,0.422738,0.0
107,D_SM2_LK3,DRIF,0.424976,0.0
108,D_SM2_LK3,DRIF,0.424976,0.0
109,D_SM2_LK3,DRIF,0.427214,0.0
110,D_SM2_LK3,DRIF,0.427214,0.0
111,D_SM2_LK3,DRIF,0.429452,0.0
112,D_SM2_LK3,DRIF,0.429452,0.0
113,D_SM2_LK3,DRIF,0.43169,0.0
114,D_SM2_LK3,DRIF,0.43169,0.0
115,D_SM2_LK3,DRIF,0.433928,0.0
116,D_SM2_LK3,DRIF,0.433928,0.0
117,D_SM2_LK3,DRIF,0.436166,0.0
